point,e_1,e_2,e_3,e_4,e_5,e_6,e_7,e_8,bars,beat,time_value,finger
174,-0.007874,0.015748,0.,-0.023622,-0.015748,-0.03937,-0.015748,-0.031496,6,4,0.333636,0
175,0.,-0.03937,-0.031496,-0.007874,-0.102362,0.125984,0.,0.023622,6,4,0.314286,0
176,0.007874,-0.031496,-0.023622,0.,0.007874,-0.055118,-0.015748,-0.031496,6,4,0.314286,0
177,-0.03937,0.,0.023622,-0.031496,0.007874,-0.15748,-0.015748,-0.023622,6,4,0.314286,0
178,-0.007874,0.007874,0.015748,0.070866,0.062992,-0.11811,-0.007874,-0.007874,6,4,0.314286,0
179,-0.007874,-0.023622,-0.023622,0.023622,0.110236,0.015748,-0.015748,-0.03937,6,4,0.294936,0
180,0.,0.023622,0.031496,-0.023622,-0.133858,0.086614,0.007874,-0.03937,6,4,0.294936,0
181,0.,0.,-0.007874,-0.03937,-0.015748,0.228346,0.007874,0.015748,6,4,0.294936,0
182,0.007874,-0.047244,-0.03937,0.015748,0.023622,-0.047244,0.007874,0.086614,6,4,0.294936,0
183,-0.015748,0.,-0.023622,0.007874,0.07874,0.007874,-0.023622,-0.070866,6,4,0.256236,0
184,-0.015748,-0.047244,-0.031496,-0.031496,-0.11811,-0.055118,-0.015748,-0.047244,6,4,0.256236,0
185,0.,-0.007874,0.023622,0.047244,0.015748,-0.023622,-0.015748,-0.055118,6,4,0.236886,0
186,0.,0.007874,0.,-0.015748,-0.094488,0.03937,-0.007874,-0.015748,6,4,0.236886,0
187,-0.007874,-0.023622,-0.023622,-0.03937,-0.11811,0.,0.007874,0.031496,6,4,0.217536,0
188,-0.015748,-0.007874,-0.023622,0.023622,0.307087,0.11811,0.015748,-0.062992,6,4,0.217536,0
189,0.007874,0.007874,-0.015748,-0.023622,-0.07874,-0.086614,-0.015748,-0.062992,6,4,0.217536,0
190,-0.023622,-0.023622,-0.03937,0.007874,-0.149606,-0.047244,-0.031496,0.,6,4,0.217536,0
191,-0.015748,-0.015748,-0.023622,-0.031496,0.07874,0.007874,-0.015748,-0.055118,6,4,0.217536,0
192,0.,0.023622,0.070866,0.047244,-0.015748,-0.015748,-0.007874,0.,6,4,0.217536,0
193,-0.007874,-0.023622,-0.055118,-0.055118,-0.023622,-0.023622,0.007874,0.094488,6,4,0.178836,0
194,0.007874,-0.015748,0.,0.015748,0.031496,0.015748,0.007874,-0.031496,6,4,0.178836,0
195,0.007874,0.031496,0.070866,-0.03937,0.,0.015748,0.,0.125984,6,4,0.159486,0
196,-0.023622,-0.031496,-0.015748,-0.031496,-0.070866,0.055118,-0.015748,0.047244,6,4,0.159486,0
197,0.015748,0.023622,0.015748,0.15748,0.031496,0.007874,0.007874,0.055118,6,4,0.140136,0
198,-0.007874,-0.015748,-0.015748,-0.031496,0.007874,-0.015748,-0.015748,0.023622,6,4,0.140136,0
199,-0.007874,-0.007874,-0.031496,-0.11811,-0.015748,-0.102362,-0.007874,0.110236,6,4,0.140136,0
200,0.015748,0.007874,0.,0.055118,0.007874,-0.125984,-0.007874,-0.007874,6,4,0.140136,0
201,-0.007874,-0.007874,-0.007874,0.007874,0.023622,-0.03937,-0.007874,-0.023622,6,4,0.120786,0
202,0.007874,-0.007874,-0.015748,-0.031496,0.,0.07874,0.023622,0.031496,6,4,0.120786,0
203,0.007874,0.,-0.015748,-0.047244,-0.07874,0.007874,-0.015748,-0.141732,6,4,0.101436,0
204,0.,0.007874,0.007874,0.047244,-0.007874,0.015748,0.,0.015748,6,4,0.101436,0
205,-0.031496,-0.015748,-0.015748,0.007874,0.07874,0.102362,0.007874,0.,6,4,0.082086,0
206,-0.015748,-0.015748,-0.03937,0.047244,0.03937,-0.086614,-0.031496,-0.031496,6,4,0.082086,0
207,0.007874,0.007874,0.023622,0.007874,0.047244,0.015748,-0.023622,-0.015748,6,4,0.062736,0
208,-0.015748,-0.007874,0.007874,0.03937,-0.031496,0.,0.007874,0.023622,6,4,0.062736,0
209,0.,-0.007874,-0.031496,-0.165354,-0.047244,0.,0.015748,-0.007874,6,4,0.043386,0
210,0.,-0.023622,0.055118,0.062992,0.031496,-0.015748,-0.015748,0.031496,6,4,0.043386,0
211,-0.015748,-0.007874,-0.015748,0.023622,0.007874,-0.086614,-0.015748,0.03937,6,4,0.024036,0
212,-0.023622,-0.015748,-0.031496,-0.055118,0.023622,0.015748,0.023622,0.007874,6,4,0.024036,0
213,-0.023622,-0.007874,0.023622,-0.031496,-0.23622,-0.023622,0.015748,0.015748,6,4,0.004686,0
214,0.,-0.047244,-0.047244,0.007874,0.11811,0.062992,-0.007874,0.03937,6,4,0.004686,0
215,-0.007874,-0.023622,-0.07874,-0.110236,-0.102362,-0.055118,-0.007874,0.070866,6,4,0.004686,0
216,-0.015748,-0.015748,0.015748,0.133858,0.125984,0.,-0.031496,0.086614,6,4,0.004686,0
217,-0.007874,0.,-0.015748,-0.102362,-0.031496,0.,-0.007874,-0.03937,6,3,0.985336,0
218,0.007874,0.007874,0.015748,-0.007874,0.047244,0.,0.023622,0.11811,6,3,0.985336,0
219,0.007874,0.03937,0.110236,0.385827,0.062992,0.031496,0.03937,0.062992,6,3,0.965986,0
220,-0.023622,-0.03937,-0.070866,-0.299213,-0.015748,-0.023622,-0.023622,-0.047244,6,3,0.965986,0
221,-0.007874,-0.015748,-0.023622,-0.015748,-0.070866,-0.047244,0.,0.125984,6,3,0.946636,0
222,-0.007874,-0.015748,0.,0.062992,0.094488,0.007874,-0.023622,-0.007874,6,3,0.927286,0
223,0.,0.,0.015748,0.023622,-0.086614,-0.023622,0.015748,-0.047244,6,3,0.927286,0
224,-0.023622,-0.062992,-0.062992,-0.031496,0.015748,0.03937,0.,0.102362,6,3,0.927286,0
225,0.,0.007874,-0.03937,-0.055118,-0.07874,-0.086614,0.,0.047244,6,3,0.907937,0
226,0.007874,0.007874,0.,-0.03937,0.03937,0.007874,-0.03937,-0.015748,6,3,0.907937,0
227,-0.031496,0.015748,0.007874,0.007874,0.015748,-0.055118,-0.015748,0.102362,6,3,0.907937,0
228,0.03937,-0.015748,-0.031496,0.047244,-0.03937,0.03937,0.007874,0.102362,6,3,0.888587,0
229,-0.03937,0.023622,0.023622,-0.023622,0.228346,0.03937,0.023622,-0.03937,6,3,0.869237,0
230,-0.007874,-0.047244,-0.031496,0.086614,0.03937,-0.03937,-0.03937,0.070866,6,3,0.869237,0
231,-0.015748,0.03937,0.062992,-0.031496,-0.141732,-0.055118,0.015748,0.133858,6,3,0.849887,0
232,0.,0.,0.07874,0.11811,0.165354,0.055118,-0.007874,0.055118,6,3,0.849887,0
233,-0.047244,-0.03937,-0.102362,-0.031496,-0.141732,0.062992,-0.007874,0.055118,6,3,0.830537,0
234,0.023622,0.015748,-0.015748,-0.212598,-0.047244,-0.047244,-0.015748,0.062992,6,3,0.830537,0
235,0.,0.015748,0.,-0.007874,-0.047244,0.023622,-0.03937,0.023622,6,3,0.830537,0
236,-0.047244,-0.023622,0.023622,-0.055118,0.031496,0.015748,0.031496,-0.094488,6,3,0.830537,0
237,-0.023622,-0.015748,0.023622,0.188976,0.047244,0.03937,0.047244,-0.015748,6,3,0.811187,0
238,0.,-0.03937,-0.047244,-0.11811,0.181102,0.070866,0.015748,0.031496,6,3,0.811187,0
239,0.023622,-0.055118,-0.11811,-0.055118,-0.204724,0.07874,0.062992,0.007874,6,3,0.791837,0
240,0.070866,0.181102,0.102362,-0.015748,0.015748,-0.03937,-0.070866,-0.102362,6,3,0.791837,0
241,-0.015748,-0.031496,0.055118,0.062992,0.125984,0.015748,-0.11811,-0.425197,6,3,0.772487,0
242,-0.094488,-0.03937,-0.03937,-0.102362,-0.503937,0.,0.031496,-0.456693,6,3,0.772487,0
243,0.055118,-0.047244,0.,-0.007874,0.354331,-0.03937,0.07874,-0.614173,6,3,0.772487,0
244,-0.023622,-0.094488,-0.15748,-0.070866,-0.173228,0.007874,0.023622,-0.228346,6,3,0.772487,0
245,0.031496,0.015748,0.023622,-0.133858,-0.149606,-0.070866,-0.055118,-0.417323,6,3,0.772487,0
246,0.007874,0.062992,0.031496,0.015748,-0.086614,0.,0.031496,-0.543307,6,3,0.772487,0
247,-0.031496,-0.031496,0.015748,0.,0.062992,0.023622,-0.102362,-0.322835,6,3,0.772487,0
